card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
20250914-00124-995fdd22|Votive to the River God|The prophet says: for prosperity, someone must pay the price.|Draw until you have 5 cards in hand. Then destroy 1 monster you control.||pictures/sacrifice.png|2025-12-20 09:40:38
20250914-00104-b6d39918|Rally Speech||All our monsters gain ATK +5 this turn.||pictures/fight_speech.png|2025-12-20 10:02:07
20250914-00114-25a553ae|Fool’s Axe|[Persistent/Equipment] Guided by the Prophet, a magic axe was found.|Equipped monster’s \n- Attr/RespAttr are negated\n- Cannot use skills. \n- ATK/DEF + 4.||pictures/fool_arc.png|2025-12-20 10:04:09
20250926-00182-c6de7843|Citywide Ward||During the opponent’s next turn: negate all of their attack declarations against us.||pictures/city_shield.png|2025-12-20 11:25:39
20250926-00183-2f70d571|Lunar Purge|||When the opponent activates a Prophecy, a monster attr, or a monster skill: negate that effect/skill.|pictures/moon_purify.png|2025-12-20 11:29:07
20250926-00181-5137cff4|Assassination Penalty|||After we destroy an opponent monster by battle: opponent loses 15 Faith.|pictures/assa.png|2025-12-20 11:29:48
20250927-00187-969c40ed|Faith Drain||Opponent Faith −5; our Faith +5.||pictures/drain_life.png|2025-12-20 11:30:25
20251123-00246-7c1186ed|Blood Hunt||Destroy 1 opponent Level 0 monster, or 1 opponent Set (face-down) monster.||pictures/blood_strike.png|2025-12-20 11:30:45
20250927-00188-52d20eba|Foresight||Look at all opponent Set (face-down) Prophecies and 2 random cards in their hand.||pictures/get_prophecy.png|2025-12-20 11:31:15
20251123-00245-f576745f|Judging Eye||Look at all opponent Set (face-down) cards on the field, then choose 1 to destroy.||pictures/judge_eyes.png|2025-12-20 11:31:25
20251128-00249-00997300|Royal Sight|[Persistent]|You may look at the top card of the opponent’s deck.||pictures/sight_power.png|2025-12-20 11:31:55
20250927-00185-7942104e|Brilliant Stratagem||Privately look at the top 5 cards of our deck; choose 1 to add to hand; return the rest to the top of our deck in random order.||pictures/good_strategy.png|2025-12-20 11:32:07
20250914-00138-f3d93862|Endure and Rise|||When we take [battle damage]: discard X cards; draw (X + 2) cards.|pictures/oath.png|2025-12-20 11:34:03
20250914-00139-98e184c6|Orb Rebound|||When the opponent declares an attack: negate it. Then the attacked monster can remove 1 Mana to deal 14 damage to the opponent.|pictures/rebound.png|2025-12-20 11:35:30
20251003-00195-3e23b156|Night Raid||Direct Summon 1 monster; it gains ATK +5 and immediately declares 1 attack. After that attack resolves, return it to your hand.||pictures/dark_attack.png|2025-12-20 11:35:57
20251223-00310-bc565fcc|Oath of Peach Garden||Reveal the top 3 cards of your deck. From your hand and among those cards, Direct Summon 3 monsters; send the rest to the graveyard. At the end of this turn, destroy all of our monsters.||pictures/taoyuan.png|2025-12-22 22:37:43
20251223-00312-cd596782|Thrice Visit||Choose 1 Monster card from your deck and add it to your hand.|When our last monster on the field is destroyed: Direct Summon 1 monster (Lv < 2) from hand.|pictures/sangu.png|2025-12-22 23:05:19
20251223-00314-8a3a0e20|Borrowed Arrows|||When our Set monster is attacked: negate that attack; during our next turn, all our monsters gain ATK equal to that attacker’s ATK.|pictures/borrow.png|2025-12-23 21:31:28
20251225-00347-dbdf1fae|Petrify Ray||Set all opponent monsters whose DEF is <10, or whose DEF is lower than the highest DEF among our monsters.||pictures/rockbeam.png|2025-12-24 20:06:56
20251225-00349-f8ecdb69|Falling Meteor||Destroy 1 opponent Continuous Prophecy card (including Continuous/Field).||pictures/meteorite.png|2025-12-24 21:37:27
20251225-00353-02b69a0f|Coal Mine|【Continuous/Field】|Each time we declare an attack: opponent loses Faith -2.|At the end of the Prophecy Phase: look at 1 opponent Set card.|pictures/coalcave.png|2025-12-24 21:48:36
20251225-00345-9fa3445a|Rockfall||(Only if we control >1 monster) Opponent loses Faith -15.||pictures/rockballs.png|2025-12-24 22:16:14
20251224-00332-3c2191de|Statue Trance|||When the opponent activates a Prophecy card or a monster effect: negate its effect on all of our monsters; all our monsters gain DEF +2.|pictures/ruding.png|2025-12-24 22:17:01
20251224-00323-1c031452|Mandate of Heaven|【Continuous】|Opponent monsters with ATK < 6 cannot declare attacks.||pictures/tianzi.png|2025-12-25 11:51:37
20251224-00322-037360b9|Hearts as One||Discard 2 cards (from hand and/or Set, any mix); Extra Summon 2 monsters.|After we draw extra cards: draw 1 additional card, then resolve this card’s Effect.|pictures/tianxia.png|2025-12-25 12:27:42
20251224-00326-f12459c7|Plums for Thirst||Choose 1 card in your deck; place it as the 3rd card from the top.|After we draw extra cards: choose 1 card in your deck; place it on top.|pictures/wangmei.png|2025-12-25 12:29:11
20251223-00315-e78c2875|Solo Ride||(Only if we control exactly 1 monster) That monster gains ATK +3, Mana+1, and cannot be destroyed by battle until the end of opponent’s turn.||pictures/qianli.png|2025-12-26 00:32:08
20251225-00355-449ff007|Heart of Ocean|【Continuous/Equip】||Once per turn, when the opponent activates a Prophecy effect: you may reduce the equipped monster’s Manaby 1 to negate that effect.|pictures/seaheart.png|2025-12-26 00:32:24
20251225-00354-45bd1e62|Faith Carve|||When one of our monsters is destroyed by battle: at the end of that turn, Direct Summon that monster; it then gains Mana+ (battle damage ÷ 3).|pictures/buddacarvin.png|2025-12-26 00:33:14
20251225-00350-f809d92e|Gem Trader|【Continuous】|On activation, this becomes a monster card (ATK-0/DEF-5). [Attr] Cannot be destroyed by battle. Any battle damage it takes is borne by the opponent. If it’s our only card on the field, the opponent may attack the player directly.|[RespAttr] At the start of the Monster Phase: you may choose 1 of our monsters to make 1 additional attack against this card.|pictures/judysalesman.png|2025-12-26 09:04:55
20251224-00330-d2b21d86|Rolling Impact|||When our monster declares attack: \nadd its DEF to its ATK for that battle. After resolution, choose for that monster: \n- DEF+5 ueot.\n- Mana+1.|pictures/rockin.png|2025-12-26 09:34:11
20251225-00351-73476ce7|Crust Shift||(Only if we control a monster with DEF > 3) That monster Mana+1, DEF-1 ueot; all our monsters:\n- attack  (including attack skills) times+1; \n-  (with original ATK < 5) ATK +4 uet.||pictures/crustalmovement.png|2025-12-26 09:50:24
20251225-00346-9301b381|Cave Relic||Opponent draws 1 card. Discard 5 cards from the bottom of our deck. Then add 1 card from our Discard to hand.|When one of our monsters would be flipped face-down: flip it face-up instead, then resolve this card’s Effect.|pictures/cave_treasure.png|2025-12-26 09:53:56
20251225-00348-978213be|Layered Cliffs|【Continuous】|All our monsters DEF + (2 × number of our monsters).|When our monster under attack: remove 1 Mana, DEF + (2 × number of our monsters) ueot. |pictures/rockmountain.png|2025-12-26 10:34:33
20251211-00266-311d1c00|Single-Mind Flow||Target 1 of our monsters that has not acted  (either an attack or a skill) this turn: it immediately makes an attack with ATK +10, then cannot act this turn. (If this attack destroys monster) Mana+1||pictures/red_ace.png|2025-12-26 11:04:37
20251225-00356-c776498c|Avatar of the Rock King||Choose 1 our monster: DEF*2 ueot and Mana+1. \nDiscard entire hand; add [Rock Emperor] from deck to hand. (If that monster is destroyed this or next turn) discard [Rock Emperor] from your hand.||pictures/rockking_figure.png|2025-12-26 11:05:27
20251225-00352-765849fa|Core Implosion||Destroy 1 our monster (with DEF > ATK), to let opponent Faith - (20 + that monster’s Mana× 4).||pictures/rockboom.png|2025-12-26 11:10:32
20251224-00316-61e3d418|Orphan’s Charge|||While we control >1 monster, if one is destroyed: immediately start our turn (beginning at the Draw Phase); another 1 our monster Mana+3.|pictures/baidi.png|2025-12-26 11:23:14
20251224-00331-01c0f608|Crystal Harden||1 our monster DEF+10. \nYou may remove 1 Mana from it, to grant an additional DEF+7.||pictures/stiffer.png|2025-12-26 11:27:13
20251224-00324-446848b6|Hefei Line|【Continuous/Field】|On activation, this card Mana+3 (which can’t be used for Advanced Summon). \nIf this card has 0 Mana, destroy it.|When the opponent declares an attack: this card loses 1 Mana to negate that attack.|pictures/hefei_defence.png|2025-12-26 11:28:14
20251224-00325-5689441d|Raid on Wuchao||This turn:\n- all our monsters ATK+2 \n- opponent cannot use Prophecy cards.||pictures/wucao.png|2025-12-26 11:29:18
20251221-00300-1dfa4286|Dreamland|Adventures in dreams are real rehearsals.|This turn, skip all monster attacks; you may use Prophecy cards without limit.||pictures/dreamland.png|2025-12-26 16:53:00
20251221-00305-f68ebc75|Curse of Lies|An ancient curse, hard to break or undo.||After an opponent Prophecy is negated or destroyed: opponent loses Faith -20.|pictures/lies.png|2025-12-26 16:53:28
20251226-00366-6037c33f|Invite Wolf|A leopard can’t change its spots.|(Activate only if we control a monster.) Discard 1 random card; gain control of 1 opponent monster (move it to our field). That monster gains 【Backstab】: at each End Phase, if able, it makes a direct attack against its controller.||pictures/beautybeast.png|2025-12-26 17:00:19
20251226-00365-2af65633|Sesame Gate|【Continuous/Field】No door is truly locked|(Once per turn) Name exactly the card name of the top card of our deck (or a card in the opponent’s hand); if correct, add that card to our hand. |(Once per turn) When we Summon a monster or use a Prophecy card: draw 1 random card from the deck.|pictures/alidoor.png|2025-12-26 17:01:41
20251226-00363-e61a0d2e|Hair Magic|Hair has never been a nuisance—once you discover what it can do||When an opponent monster declares an attack: negate that attack, then choose 1:\n- Return that monster to its owner’s hand.\n- We draw 1 card.|pictures/hairmagic.png|2025-12-26 17:02:58
20251226-00362-7cb2e941|Three Pigs Crew|Not strength or weakness—just balance|Choose 1 【Continuous/Field】 Prophecy card from the deck and activate it. This card becomes Mana attached to that card.||pictures/buildingteam.png|2025-12-26 17:04:02
20251220-00296-621ec288|Otherworldly Tea Party||(If we control >1 monster) Draw 3 cards.||pictures/tea_party.png|2025-12-26 20:25:25
20251220-00297-28473ef6|Crystal Slippers|【continous/equip】If all that’s memorable is a pair of shoes…|During each of our Draw Phases: Faith -5; draw 2 additional cards.|When the equipped monster acts (declares an attack or uses a skill): Faith -5; the equipped monster gains +1 Mana.|pictures/crystal_shoes.png|2025-12-26 22:50:56
20251221-00303-14a1e5d7|Sleeping Spindle|Call me queen—let’s all fall asleep together.||After the opponent uses a Prophecy card: Set all monsters on the field (flip them face-down).|pictures/sleep.png|2025-12-27 11:55:42
20251229-00369-pc1f8224|Bodyguard Toxic Barrier||Choose 1 of our monsters; it cannot be attacked during the next turn.|When we deal >5 Battle Damage to the opponent: opponent Faith -4.|pictures/toxic_shield.png|2025-12-28 22:42:18
20251231-00384-p1696d1c|Frosttoxin Armor|【Persistent/Equip】|The equipped monster gains DEF +4.|If the equipped monster would be destroyed by an effect, you can destroy this card instead. If you do, the equipped monster permanently gains DEF +4.|pictures/frostoxic_arm.png|2025-12-31 22:38:25
20251231-00385-pf8dcd18|Frosttoxin Seed||Target 1 of our monsters on the field. If it is destroyed during the next turn: opponent Faith -25.|When our monster is destroyed: draw 3 cards.|pictures/frostoxic_seed.png|2025-12-31 22:48:19
20260101-00389-p8de60d5|Toxic Permafrost|【Persistent】||- When our Prophecy Phase ends: we can Faith -2 to gain 1 Mana.\n- When we use Mana: opponent Faith -3.|pictures/toxic_sand.png|2026-01-01 11:05:19
20251231-00387-p9062817|White Frost Toxin||At the end of this turn, opponent Faith -5. Then at the end of the opponent’s next turn, opponent Faith -5.|When an opponent activates a monster skill: negate that skill, and that monster loses all Mana.|pictures/white_toxic.png|2026-01-01 18:03:15
20260101-00390-p35ad721|Bitter Frostwind||Look at 2 face-down cards on the opponent’s field, and the top 2 cards of the opponent’s Deck.|When a monster we control is destroyed by an effect: flip all cards on the opponent’s field face-down.|pictures/frostwind.png|2026-01-01 18:11:02
20251231-00386-pd448487|Northern Toxic Bastion|【Persistent/Field】|Destroy 1 of our monsters on the field; opponent Faith -8.|When our monster card is destroyed: draw 1 card.|pictures/frostoxic_city.png|2026-01-02 22:54:57
20251229-00370-p5a25e36|Dark Corrosion Ray||Target 1 opponent monster; its DEF -10.|When the opponent plays a Prophecy card: the opponent chooses:\n- Negate that Prophecy card, and Faith -4\n- Faith -30|pictures/necrotic_beam.png|2026-01-03 13:05:27
20251231-00388-pb65085e|Miracle Aurora||Draw 2 cards, then reveal 1 of them.|When the opponent activates the [RespEffect] of a Prophecy card: negate that effect, then destroy that card; activate this card’s effect.|pictures/aurora.png|2026-01-03 13:30:50
20260101-00391-p9023a85|Hearth Party||Faith +8.|When opponent monster activates [RespAttr]: negate it, and all opponent monsters become blank (lose all buffs, Attr, RespAttr, skills).|pictures/warmparty.png|2026-01-03 15:59:06
20251231-00382-pd9d3c57|Charged Shot||(Activate only if we have >1 monsters on the field) 1 monster attack times-1, another monster next attack gets ATK+15.|When the opponent plays a Prophecy card that would deal Effect Damage to us: negate that damage and break that effect; then destroy 1 opponent Prophecy card on the field.|pictures/charging_shoot.png|2026-01-04 10:04:18
20251221-00302-0bb9ddc5|Candy Workshop|【continuous】It’s better not to know the dark truth.|Once per turn: you may destroy 1 our Lv.0 monsters, to Faith +10 and draw 1 card.||pictures/candy_house.png|2026-01-04 10:11:16
20251231-00383-p2a92462|Wolf Rally||Draw cards until you draw a monster card.|When we activate an [Attack Skill]: that attack gets ATK +14.|pictures/wolves.png|2026-01-04 11:44:40
20251226-00364-d5125e9f|The King’s New Clothes|There’s nothing to be ashamed of.|Our Mana-1, let opponent Faith - (our highest DEF), then we draw 2 cards.||pictures/kingdress.png|2026-01-04 11:46:05
